Student,ID,SIS User ID,SIS Login ID,Section,Lab 1 (1528507),Lab 2 (1528517),Lab 3 (1528621),Lab 4 (1537641),Lab 5 (1538630),Lab 6 (1538950),Lab 7 (1547246),Lab 8 (1547247),Lab 9 (1547248),Lab 10 (1548774),Lab Attendance (1493154),Quiz 1 (1523864),Quiz 2 (1527539),Quiz 3 (1529988),Quiz 4 (1531458),Quiz 5 (1535632),Quiz 6 (1537430),Quiz 7 (1539584),Quiz 8 (1543882),Midterm (1533024),Final (1547380),Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Lab Attendance Current Score,Lab Attendance Unposted Current Score,Lab Attendance Final Score,Lab Attendance Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Final Current Score,Final Unposted Current Score,Final Final Score,Final Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
REDACTED,111111,1111111,loganlsf,PHY 040 A01 FQ 2025,20,20,19,15.5,19,19,20,19,18,20,10,3,4,4,2,2,3,3,2,30,43.5,96.67,96.67,96.67,96.67,100,100,100,100,93.75,93.75,93.75,93.75,75,75,75,75,76.32,76.32,76.32,76.32,90.18,90.18,90.18,90.18,A-,A-,A-,A-
REDACTED,111111,1111111,hanwen42,PHY 040 A02 FQ 2025,20,15,16.5,20,16.75,19,20,19.75,20,20,9,3,4,1,3,1,4,1,2,24,47,95.56,95.56,95.56,95.56,90,90,90,90,75,75,75,75,64.29,64.29,64.29,64.29,82.46,82.46,82.46,82.46,85.14,85.14,85.14,85.14,B,B,B,B
REDACTED,111111,1111111,bonica,PHY 040 A03 FQ 2025,20,17,14,20,17.25,18.75,20,20,16,14,10,3,4,2,4,2,4,3,4,29,43,90.56,90.56,90.56,90.56,100,100,100,100,90.63,90.63,90.63,90.63,85.71,85.71,85.71,85.71,75.44,75.44,75.44,75.44,88.01,88.01,88.01,88.01,B+,B+,B+,B+
REDACTED,111111,1111111,jlin8,PHY 040 A02 FQ 2025,0,18,19,10.5,18.5,20,20,20,19,19,8,3,0,3,4,1,3,3,4,32,53,91.11,91.11,91.11,91.11,80,80,80,80,100,100,100,100,75,75,75,75,92.98,92.98,92.98,92.98,90.54,90.54,90.54,90.54,A-,A-,A-,A-
REDACTED,111111,1111111,chrlpz06,PHY 040 A03 FQ 2025,20,19,20,18.5,18.75,20,20,20,20,18.5,10,3,4,4,3,2,4,3,2,25,43,97.92,97.92,97.92,97.92,100,100,100,100,78.13,78.13,78.13,78.13,82.14,82.14,82.14,82.14,75.44,75.44,75.44,75.44,88.09,88.09,88.09,88.09,B+,B+,B+,B+
REDACTED,111111,1111111,ryanl,PHY 040 A02 FQ 2025,20,18,20,17,17.5,16.5,20,20,20,20,10,4,3,4,4,3,4,2,4,31,45,95.83,95.83,95.83,95.83,100,100,100,100,96.88,96.88,96.88,96.88,92.86,92.86,92.86,92.86,78.95,78.95,78.95,78.95,92.78,92.78,92.78,92.78,A-,A-,A-,A-
REDACTED,111111,1111111,matsuzoe,PHY 040 A02 FQ 2025,20,16,18.5,18,20,18.75,20,20,20,20,10,4,4,4,4,3,4,4,4,28,40,97.36,97.36,97.36,97.36,100,100,100,100,87.5,87.5,87.5,87.5,100,100,100,100,70.18,70.18,70.18,70.18,90.48,90.48,90.48,90.48,A-,A-,A-,A-
REDACTED,111111,1111111,ekaterin,PHY 040 A01 FQ 2025,20,19,18,20,20,20,20,20,20,20,10,4,4,3,0,3,4,3,4,30,55,99.44,99.44,99.44,99.44,100,100,100,100,93.75,93.75,93.75,93.75,89.29,89.29,89.29,89.29,96.49,96.49,96.49,96.49,96.75,96.75,96.75,96.75,A,A,A,A
REDACTED,111111,1111111,bvmuscat,PHY 040 A02 FQ 2025,20,18,20,20,18.75,20,20,19.75,20,20,10,3,4,3,4,1,3,2,3,30,45,99.17,99.17,99.17,99.17,100,100,100,100,93.75,93.75,93.75,93.75,78.57,78.57,78.57,78.57,78.95,78.95,78.95,78.95,92.06,92.06,92.06,92.06,A-,A-,A-,A-
REDACTED,111111,1111111,gnasca,PHY 040 A01 FQ 2025,20,20,19,20,20,20,20,20,20,20,10,4,4,4,4,3,EX,2,4,30,54,100,100,100,100,100,100,100,100,93.75,93.75,93.75,93.75,95.83,95.83,95.83,95.83,94.74,94.74,94.74,94.74,97.28,97.28,97.28,97.28,A+,A+,A+,A+
REDACTED,111111,1111111,raynas,PHY 040 A02 FQ 2025,20,20,20,20,20,15,20,19.75,20,20,9,EX,3,2,4,4,2,4,4,29,52,99.86,99.86,99.86,99.86,90,90,90,90,90.63,90.63,90.63,90.63,87.5,87.5,87.5,87.5,91.23,91.23,91.23,91.23,94.07,94.07,94.07,94.07,A,A,A,A
REDACTED,111111,1111111,vnugg12,PHY 040 A02 FQ 2025,EX,18,20,20,16.25,20,19.25,19.25,19,19.25,8,EX,4,4,3,3,3,4,4,28,47,96.72,96.72,96.72,96.72,80,80,80,80,87.5,87.5,87.5,87.5,91.67,91.67,91.67,91.67,82.46,82.46,82.46,82.46,89.85,89.85,89.85,89.85,B+,B+,B+,B+
REDACTED,111111,1111111,poog,PHY 040 A02 FQ 2025,20,17,17,20,18.75,20,20,20,20,20,10,4,4,4,4,2,4,2,4,27,45,97.64,97.64,97.64,97.64,100,100,100,100,84.38,84.38,84.38,84.38,92.86,92.86,92.86,92.86,78.95,78.95,78.95,78.95,91.01,91.01,91.01,91.01,A-,A-,A-,A-
REDACTED,111111,1111111,ajpabooj,PHY 040 A02 FQ 2025,20,18,20,20,19,19,19,18.5,20,19.5,10,3,4,4,4,0,0,3,4,29,36,97.22,97.22,97.22,97.22,100,100,100,100,90.63,90.63,90.63,90.63,78.57,78.57,78.57,78.57,63.16,63.16,63.16,63.16,87.5,87.5,87.5,87.5,B+,B+,B+,B+
REDACTED,111111,1111111,zoyap,PHY 040 A03 FQ 2025,20,17,18,18.5,18.75,20,20,19.75,18,18,10,3,2,4,2,3,3,2,3,25,43,95,95,95,95,100,100,100,100,78.13,78.13,78.13,78.13,71.43,71.43,71.43,71.43,75.44,75.44,75.44,75.44,85.86,85.86,85.86,85.86,B,B,B,B
REDACTED,111111,1111111,shapande,PHY 040 A01 FQ 2025,20,17,20,18.5,18.75,20,19.25,16.75,18,20,10,2,4,3,2,3,4,4,4,31,53,95.28,95.28,95.28,95.28,100,100,100,100,96.88,96.88,96.88,96.88,85.71,85.71,85.71,85.71,92.98,92.98,92.98,92.98,94.65,94.65,94.65,94.65,A,A,A,A
REDACTED,111111,1111111,jbpayne,PHY 040 A02 FQ 2025,20,20,19,15,11.25,15.75,18,14.75,20,20,10,2,2,3,4,3,3,3,3,17,39.5,90.28,90.28,90.28,90.28,100,100,100,100,53.13,53.13,53.13,53.13,75,75,75,75,69.3,69.3,69.3,69.3,78.1,78.1,78.1,78.1,C+,C+,C+,C+
REDACTED,111111,1111111,hmquresh,PHY 040 A03 FQ 2025,20,19,19,20,19.5,20,20,20,18,20,10,3,4,4,4,2,4,3,4,28,54,98.61,98.61,98.61,98.61,100,100,100,100,87.5,87.5,87.5,87.5,92.86,92.86,92.86,92.86,94.74,94.74,94.74,94.74,95.18,95.18,95.18,95.18,A,A,A,A
REDACTED,111111,1111111,derecto,PHY 040 A01 FQ 2025,20,14.4,9.45,14.4,18,0,20,15.08,18,0,9,1,4,0,0,0,2,0,2,22,46.5,71.85,71.85,71.85,71.85,90,90,90,90,68.75,68.75,68.75,68.75,32.14,32.14,32.14,32.14,81.58,81.58,81.58,81.58,71.02,71.02,71.02,71.02,C-,C-,C-,C-
REDACTED,111111,1111111,kreffell,PHY 040 A01 FQ 2025,20,18,20,20,20,20,18.5,19.25,20,0,10,3,4,3,2,1,4,3,1,25,42,97.64,97.64,97.64,97.64,100,100,100,100,78.13,78.13,78.13,78.13,71.43,71.43,71.43,71.43,73.68,73.68,73.68,73.68,86.56,86.56,86.56,86.56,B,B,B,B
REDACTED,111111,1111111,ireyes77,PHY 040 A02 FQ 2025,20,11,9,8.5,4.5,19,19,16.75,19,18,8,4,4,0,1,0,0,0,0,24,46,77.92,77.92,77.92,77.92,80,80,80,80,75,75,75,75,32.14,32.14,32.14,32.14,80.7,80.7,80.7,80.7,73.52,73.52,73.52,73.52,C,C,C,C
REDACTED,111111,1111111,diegor05,PHY 040 A03 FQ 2025,20,16,19,20,15.75,20,18.5,18.75,20,19.5,8,4,2,4,4,3,4,2,4,27,39.5,95.42,95.42,95.42,95.42,80,80,80,80,84.38,84.38,84.38,84.38,89.29,89.29,89.29,89.29,69.3,69.3,69.3,69.3,85.83,85.83,85.83,85.83,B,B,B,B
REDACTED,111111,1111111,saurosa,PHY 040 A02 FQ 2025,20,18,11,12,18,19,15.25,14.25,18,12.5,7,1,4,3,4,1,3,4,4,27,36,81.67,81.67,81.67,81.67,70,70,70,70,84.38,84.38,84.38,84.38,82.14,82.14,82.14,82.14,63.16,63.16,63.16,63.16,77.39,77.39,77.39,77.39,C+,C+,C+,C+
REDACTED,111111,1111111,sjrothwe,PHY 040 A01 FQ 2025,20,18,20,14,16.25,19,20,20,20,20,10,3,4,4,4,2,4,3,4,24,36,96.25,96.25,96.25,96.25,100,100,100,100,75,75,75,75,92.86,92.86,92.86,92.86,63.16,63.16,63.16,63.16,85.42,85.42,85.42,85.42,B,B,B,B
REDACTED,111111,1111111,mjrowell,PHY 040 A02 FQ 2025,20,19,18,20,20,20,19.75,18.75,20,19.5,9,3,4,4,3,3,3,2,3,23,46,98.33,98.33,98.33,98.33,90,90,90,90,71.88,71.88,71.88,71.88,82.14,82.14,82.14,82.14,80.7,80.7,80.7,80.7,87.06,87.06,87.06,87.06,B+,B+,B+,B+
REDACTED,111111,1111111,santhony,PHY 040 A01 FQ 2025,20,18,19,17,20,20,20,18.5,19,20,10,3,4,4,4,4,4,4,0,29,45.5,96.94,96.94,96.94,96.94,100,100,100,100,90.63,90.63,90.63,90.63,96.43,96.43,96.43,96.43,79.82,79.82,79.82,79.82,92.51,92.51,92.51,92.51,A-,A-,A-,A-
REDACTED,111111,1111111,kscheple,PHY 040 A02 FQ 2025,20,18,19,17,17.5,19,20,16.75,20,19,9,4,4,4,2,3,4,3,3,30,51,94.17,94.17,94.17,94.17,90,90,90,90,93.75,93.75,93.75,93.75,89.29,89.29,89.29,89.29,89.47,89.47,89.47,89.47,92.24,92.24,92.24,92.24,A-,A-,A-,A-
REDACTED,111111,1111111,ansrini,PHY 040 A01 FQ 2025,20,19,17.5,20,18.75,20,20,18.5,20,20,10,3,3,3,4,3,4,3,4,29,38,97.92,97.92,97.92,97.92,100,100,100,100,90.63,90.63,90.63,90.63,85.71,85.71,85.71,85.71,66.67,66.67,66.67,66.67,89.2,89.2,89.2,89.2,B+,B+,B+,B+
REDACTED,111111,1111111,amstaas,PHY 040 A02 FQ 2025,20,20,15.5,20,18.75,19,20,18.75,19,20,10,2,4,4,3,2,4,1,2,29,39,97.5,97.5,97.5,97.5,100,100,100,100,90.63,90.63,90.63,90.63,75,75,75,75,68.42,68.42,68.42,68.42,88.31,88.31,88.31,88.31,B+,B+,B+,B+
REDACTED,111111,1111111,kstall,PHY 040 A03 FQ 2025,20,19,19,18.5,20,20,20,20,20,19,10,3,4,3,3,3,4,4,EX,30,53,98.33,98.33,98.33,98.33,100,100,100,100,93.75,93.75,93.75,93.75,87.5,87.5,87.5,87.5,92.98,92.98,92.98,92.98,95.43,95.43,95.43,95.43,A,A,A,A
REDACTED,111111,1111111,alanst,PHY 040 A03 FQ 2025,20,15,20,19,20,19,18.25,19.75,20,19.75,9,3,4,4,4,3,4,3,4,30,50,97.64,97.64,97.64,97.64,90,90,90,90,93.75,93.75,93.75,93.75,92.86,92.86,92.86,92.86,87.72,87.72,87.72,87.72,93.64,93.64,93.64,93.64,A,A,A,A
REDACTED,111111,1111111,kmtinney,PHY 040 A01 FQ 2025,20,19,20,18.5,18.75,19,20,19.75,20,20,10,4,4,4,3,3,4,4,4,30,47,98.06,98.06,98.06,98.06,100,100,100,100,93.75,93.75,93.75,93.75,96.43,96.43,96.43,96.43,82.46,82.46,82.46,82.46,94.11,94.11,94.11,94.11,A,A,A,A
REDACTED,111111,1111111,gtor5283,PHY 040 A02 FQ 2025,18,16,19.5,17.5,18.75,20,20,18.5,20,20,10,3,3,4,2,2,4,3,4,25,35.5,95.69,95.69,95.69,95.69,100,100,100,100,78.13,78.13,78.13,78.13,82.14,82.14,82.14,82.14,62.28,62.28,62.28,62.28,84.57,84.57,84.57,84.57,B,B,B,B
REDACTED,111111,1111111,lvelazco,PHY 040 A03 FQ 2025,20,19,18,17.5,16,16.5,20,17.5,20,20,10,3,4,4,3,2,EX,3,3,30,51,93.61,93.61,93.61,93.61,100,100,100,100,93.75,93.75,93.75,93.75,83.33,83.33,83.33,83.33,89.47,89.47,89.47,89.47,92.42,92.42,92.42,92.42,A-,A-,A-,A-
REDACTED,111111,1111111,mvimal,PHY 040 A01 FQ 2025,20,18,19,20,18,20,19,17,20,20,10,3,4,4,2,2,4,3,4,27,44,96.67,96.67,96.67,96.67,100,100,100,100,84.38,84.38,84.38,84.38,85.71,85.71,85.71,85.71,77.19,77.19,77.19,77.19,89.55,89.55,89.55,89.55,B+,B+,B+,B+
REDACTED,111111,1111111,w041006,PHY 040 A01 FQ 2025,20,18,19,13.5,20,20,19.75,17,12,19.75,10,4,4,4,4,3,2,3,4,32,50,92.78,92.78,92.78,92.78,100,100,100,100,100,100,100,100,92.86,92.86,92.86,92.86,87.72,87.72,87.72,87.72,93.94,93.94,93.94,93.94,A,A,A,A
REDACTED,111111,1111111,rawester,PHY 040 A01 FQ 2025,20,17,19,20,20,20,20,20,20,20,10,4,4,4,3,2,3,3,2,28,51,99.44,99.44,99.44,99.44,100,100,100,100,87.5,87.5,87.5,87.5,82.14,82.14,82.14,82.14,89.47,89.47,89.47,89.47,93.39,93.39,93.39,93.39,A,A,A,A
REDACTED,111111,1111111,davidswu,PHY 040 A01 FQ 2025,20,20,19,20,20,20,20,20,19,19.75,9,4,4,4,2,4,3,3,4,29,49.5,99.31,99.31,99.31,99.31,90,90,90,90,90.63,90.63,90.63,90.63,92.86,92.86,92.86,92.86,86.84,86.84,86.84,86.84,93.5,93.5,93.5,93.5,A,A,A,A
REDACTED,111111,1111111,jcxue5,PHY 040 A02 FQ 2025,20,20,20,20,18.75,19,18.5,20,20,20,10,4,4,3,4,4,4,4,4,32,53,98.75,98.75,98.75,98.75,100,100,100,100,100,100,100,100,100,100,100,100,92.98,92.98,92.98,92.98,98.1,98.1,98.1,98.1,A+,A+,A+,A+
REDACTED,111111,1111111,szahiri,PHY 040 A03 FQ 2025,20,18,20,20,20,20,20,20,16,20,10,4,4,4,4,2,3,3,4,29,49,98.89,98.89,98.89,98.89,100,100,100,100,90.63,90.63,90.63,90.63,92.86,92.86,92.86,92.86,85.96,85.96,85.96,85.96,94.16,94.16,94.16,94.16,A,A,A,A
"Student, Test",454224,,8d321ab185bebd1bfb8122d185e1e8645f0a14c4,"PHY 040 A01 FQ 2025, PHY 040 A02 FQ 2025, and PHY 040 A03 FQ 2025",,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,F,F
